date,day_of_week,hour,category,merchant,amount,type,balance
2026-02-01,Sunday,9,Savings,Salary Credit,15000.0,credit,30000.0
2026-02-01,Sunday,10,Rent,Room Rent,5918.28,debit,24081.72
2026-02-02,Monday,9,Food,Dominos,258.54,debit,21107.79
2026-02-03,Tuesday,16,Food,Swiggy,139.03,debit,23328.52
2026-02-03,Tuesday,11,Food,Zomato,310.94,debit,20796.85
2026-02-03,Tuesday,9,Food,McDonald's,229.05,debit,21498.25
2026-02-04,Wednesday,18,Food,Zomato,105.04,debit,22241.55
2026-02-05,Thursday,16,Transport,Auto,64.39,debit,19122.25
2026-02-05,Thursday,15,Education,Udemy,686.09,debit,13734.88
2026-02-05,Thursday,16,Food,McDonald's,138.13,debit,22346.59
2026-02-06,Friday,11,Transport,Bus Pass,103.21,debit,20063.31
2026-02-06,Friday,8,Transport,Uber,116.15,debit,20166.52
2026-02-06,Friday,13,Food,Tea Stall,179.95,debit,20461.85
2026-02-06,Friday,11,Transport,Rapido,162.57,debit,18502.73
2026-02-07,Saturday,16,Transport,Rapido,137.98,debit,19289.23
2026-02-08,Sunday,8,Food,Dominos,201.29,debit,22993.54
2026-02-08,Sunday,12,Food,Zomato,140.27,debit,23941.45
2026-02-08,Sunday,19,Transport,Bus Pass,167.92,debit,19673.15
2026-02-09,Monday,11,Transport,Petrol Pump,146.33,debit,20315.52
2026-02-11,Wednesday,3,Entertainment,Gaming,155.78,debit,16650.03
2026-02-12,Thursday,2,Food,Dominos,308.82,debit,21932.73
2026-02-12,Thursday,21,Transport,Uber,59.48,debit,18813.87
2026-02-13,Friday,15,Food,McDonald's,155.05,debit,20641.8
2026-02-13,Friday,9,Transport,Uber,68.19,debit,19604.96
2026-02-14,Saturday,6,Transport,Rapido,181.61,debit,18873.35
2026-02-15,Sunday,20,Shopping,Meesho,305.52,debit,16344.51
2026-02-17,Tuesday,17,Utilities,Airtel,656.31,debit,14940.44
2026-02-17,Tuesday,22,Transport,Ola,108.83,debit,18705.04
2026-02-18,Wednesday,14,Entertainment,Pub,475.44,debit,16805.81
2026-02-18,Wednesday,8,Transport,Auto,67.29,debit,19054.96
2026-02-18,Wednesday,13,Entertainment,BookMyShow,530.39,debit,17741.61
2026-02-18,Wednesday,8,Food,Mess,133.69,debit,23194.83
2026-02-18,Wednesday,19,Food,Mess,113.7,debit,21727.3
2026-02-19,Thursday,9,Food,Zomato,131.92,debit,21366.33
2026-02-19,Thursday,15,Transport,Bus Pass,177.75,debit,19427.21
2026-02-19,Thursday,18,Food,Swiggy,193.92,debit,23467.55
2026-02-20,Friday,7,Transport,Rapido,31.43,debit,18471.3
2026-02-20,Friday,15,Health,Apollo Pharmacy,326.91,debit,13407.97
2026-02-20,Friday,18,Transport,Auto,199.3,debit,18272.0
2026-02-21,Saturday,4,Transport,Bus Pass,102.59,debit,19186.64
2026-02-21,Saturday,17,Transport,Petrol Pump,32.85,debit,20282.67
2026-02-21,Saturday,12,Transport,Uber,143.87,debit,19919.44
2026-02-22,Sunday,7,Entertainment,Pub,460.36,debit,17281.25
2026-02-22,Sunday,14,Transport,Ola,78.37,debit,19841.07
2026-02-22,Sunday,22,Food,Zomato,279.98,debit,23661.47
2026-02-23,Monday,20,Food,Dominos,194.11,debit,22484.72
2026-02-24,Tuesday,10,Shopping,Reliance Trends,747.76,debit,15596.75
2026-02-26,Thursday,5,Food,Canteen,314.71,debit,22678.83
2026-02-26,Thursday,22,Food,Chai Point,91.73,debit,21841.0
2026-02-27,Friday,11,Utilities,Water Bill,519.47,debit,14420.97
2026-02-28,Saturday,20,Savings,Piggy Bank,667.8,credit,14075.77
2026-02-28,Saturday,19,Transport,Petrol Pump,39.74,debit,18665.3
2026-03-01,Sunday,9,Savings,Salary Credit,15000.0,credit,29075.77
2026-03-01,Sunday,10,Rent,PG Payment,6636.17,debit,22439.6
2026-03-02,Monday,9,Food,Zomato,145.04,debit,22294.56
2026-03-02,Monday,17,Shopping,D-Mart,385.24,debit,14654.89
2026-03-02,Monday,6,Transport,Petrol Pump,141.21,debit,18346.33
2026-03-03,Tuesday,10,Food,McDonald's,324.46,debit,19741.33
2026-03-03,Tuesday,22,Food,Zomato,277.62,debit,22016.94
2026-03-03,Tuesday,19,Food,Dominos,218.82,debit,19522.51
2026-03-03,Tuesday,18,Utilities,JIO Recharge,537.61,debit,11564.71
2026-03-04,Wednesday,9,Food,Zomato,146.93,debit,20541.33
2026-03-04,Wednesday,18,Transport,Auto,29.11,debit,17753.77
2026-03-04,Wednesday,23,Transport,Petrol Pump,30.91,debit,18315.42
